"Address Line 1","Address Line 2","Email Address","Office Number","Name","Office Phone","Postal Code","Modification Date"
"BOX 1346","CAMROSE, ALBERTA","jtomaszewski@xplornet.com",267,"TRU-MARK REAL ESTATE APPRAISALS & CONS.","780-679-8205","T4V 1X3","2008-06-12 14:28:13.843094"
"6223 - 48 AVENUE","CAMROSE, AB","royallepage@cable-lynx.net",209,"ROYAL LEPAGE ROSE COUNTRY REALTY","780-672-8835","T4V 0K4","2012-01-23 10:05:29.669289"
"6, 3608 - 50 AVE.","RED DEER, AB.","reddeerrealestate@royallepage.ca",50,"ROYAL LEPAGE NETWORK REALTY","403-346-8900","T4N 3Y6","2011-08-18 08:46:49.936193"
"SUITE 200, 1000 - 7 AVENUE SW","CALGARY, AB",,47,"CANADA MORTGAGE & HOUSING CORP","403-515-3006","T2R 0E4","2012-01-23 10:35:13.488079"
"4801 - 49 AVENUE","OLDS, ALBERTA","perryapp@perryapp.ca",168,"PERRY APPRAISAL ASSOCIATES LTD","403-556-7277","T4H 1E1","2008-06-23 09:43:18.658688"
"5017 - 50 STREET","LACOMBE, AB","aztech@shaw.ca",249,"AZTECH APPRAISALS","403-782-2169","T4L 1X7","2008-08-11 13:58:13.422937"
"4922 - 45 STREET","RED DEER, AB","office@CARAssociation.ca",118,"CENTRAL ALBERTA REALTORS ASSOCIATION","403-343-0881","T4N 1K6","2009-02-17 07:54:23.331631"
"P.O. BOX 841","RED DEER, AB","agproconsulting@xplornet.com",164,"AGPRO CONSULTING & APPRAISAL","403-343-2423","T4N 5H2","2009-09-14 07:11:06.225619"
"4924-48 AVE.","INNISFAIL, AB","innisfail@royallepage.ca",19,"ROYAL LEPAGE WEBER","403-227-3325","T4G 1N7","2010-04-26 14:36:23.984747"
"4914 - 55 STREET","RED DEER, AB","marcel@pellegrinileblanc.com",269,"MARCEL LEBLANC REAL ESTATE INC.","403-347-8833","T4N 2J4","2009-10-01 10:37:36.548197"
"BOX 67","ALDER FLATS, ALBERTA","cathy@mooresrealty.ca",196,"MOORE'S AGRI-TRADE LTD.","780-388-3759","T0C 0A0","2010-03-02 13:41:52.706721"
"193 Athabascan Avenue","SHERWOOD PARK, AB","cdcsinc@shaw.ca",210,"CDC CONSULTING SERVICES INC.","780-464-7910","T8A 4C8","2010-07-27 11:05:45.914326"
"4919 - 48 STREET","RED DEER, AB","Jmcleod@RedDeerRealEstate.com",263,"SANCTUARY REAL ESTATE LTD.","403-343-6430","T4N 1S8","2010-09-28 12:33:57.396204"
"110 1ST AVENUE NORTH","TROCHU, AB","tcproperties@xplornet.ca",211,"TOWN AND COUNTRY PROPERTIES","403-442-0007","T0M 2C0","2010-10-19 11:33:54.126623"
"6000-48 AVE","PONOKA, ALBERTA",,266,"RE/MAX REAL ESTATE CENTRAL AB.","403-783-5007","T4J 1K2","2009-03-18 10:01:59.982747"
"P.O. BOX 1886","HIGH PRAIRIE, AB","debbienelson@royallepage.ca",213,"ROYAL LEPAGE PVR REALTY INC.","780-523-4001","T0G 1E0","2009-02-25 07:56:58.289043"
"130, 220 - 4TH AVENUE S.E.","CALGARY, ALBERTA",,282,"CANADA REVENUE AGENCY","403-691-6893","T2G 0L1","2009-03-26 10:46:00.344824"
"305 3715 47th Avenue","SYLVAN LAKE, AB",,279,"ROYAL LEPAGE NETWORK REALTY CORP.","403-887-2286","T4S 0C8","2009-06-25 08:28:52.731046"
"P.O. BOX 210 CASTOR ALBERTA",,,284,"EAST CENTRAL APPRAISALS","403-882-4555","T0C 0X0","2009-05-20 08:05:05.183601"
"#6, 40 HEWLETT PARK LANDING","SYLVAN LAKE","jim@trilliantrealty.ca",285,"TRILLIANT REAL ESTATE GROUP LTD.","403-887-8579","T4S 2J3","2009-05-27 16:13:33.862819"
"BOX 27120 RPO DOWNTOWN","RED DEER, AB","reliefinspectionservices@gmail.com",288,"RELIEF INSPECTION SERVICES","403-302-3889","T4N 6X8","2009-07-14 15:17:07.399565"
"RR 1 SITE 25 BOX 4","INNISFAIL, AB","diane@theresort.ca",218,"PARADISE REALTY","403-710-4559","T4G 1T6","2009-09-10 15:08:13.694441"
"403, 4920-51 ST.","RED DEER, ALBERTA",,45,"ALBERTA TRANSPORTATION","403-340-5166","T4N 6K8","2009-09-14 07:11:33.719047"
"405, 4901 - 48 STREET","RED DEER, AB","craig@soderquist.ab.ca",48,"SODERQUIST M R APPRAISALS LTD.","403-346-5533","T4N 6M4","2009-09-14 07:11:49.469151"
"#123, 5301 - 43 STREET","RED DEER, AB","cindy@realtyexecutivesreddeer.com",294,"REALTY EXECUTIVES RED DEER","403-342-4455","T4N 1C8","2010-06-02 11:02:58.260301"
,,,290,"RAE RECIPROCITY MEMBERS","780-451-6666",,"2009-10-02 09:30:54.81414"
"5601-50 AVE","CAMROSE, ALBERTA","jacob.slabbert@gmail.com",289,"ACCORD APPRAISAL COMPANY","780-679-0303","T4V 0C2","2012-02-03 13:31:12.046156"
"201 4876-50 STREET","BOX 1185 CAMROSE, AB","info@benchmarkalberta.ca",270,"BENCHMARK GROUP, THE","780-672-8858","T4V 1X2","2012-02-14 10:34:19.363821"
"5804 GAETZ AVE.","RED DEER, AB.","john.l@homesreddeer.com",87,"HELP U SELL RED DEER","403-342-7355","T4N 4C2","2012-02-13 13:05:40.366228"
"5002 - 50 AVE, BOX 1798","STETTLER, ALBERTA","abirch@royallepage.ca",281,"ROYAL LEPAGE NETWORK REALTY STETTLER","403-742-3069","T0C 2L0","2010-08-18 10:22:52.209795"
"5235 - 50 STREET","INNISFAIL, AB",,206,"CENTURY 21 YOUR REALTY","403-227-2871","T4G 1S1","2010-07-16 10:10:56.319202"
"5432 - 56 AVENUE","LACOMBE, AB","bdryer@lacombe.ca",293,"TOWN OF LACOMBE","403-782-6666","T4L 1E9","2010-04-22 09:33:37.719386"
"BOX 400","THREE HILLS, AB","assessor@kneehillcounty.com",271,"KNEEHILL COUNTY","403-443-5541","T0M 2A0","2010-04-22 09:35:51.723814"
"10, 7895 - 49TH AVENUE","RED DEER, ALBERTA","eo@chbacentralalberta.ca",280,"CENTRAL ALBERTA HOME BUILDERS ASSOC.","403-346-5321","T4P 2B4","2010-08-16 13:51:24.458116"
"BOX 651, 4916 - 52 AVENUE","HARDISTY, AB","tammybell@realtyexecutives.com",283,"REALTY EXECUTIVES DIAMOND SALES","780-888-2355","T0B 1V0","2010-08-18 13:52:10.698821"
"UNIT G, 2085 - 50 AVE.","RED DEER, AB","realestate@ontrackreddeer.com",91,"COLDWELL BANKER ONTRACK REALTY","403-343-3344","T4R 1Z4","2010-10-28 14:27:30.833396"
"BOX 1360","STETTLER, AB","appraisal@heartlandappraisal.ca",246,"HEARTLAND APPRAISAL & CONSULT.","403-704-6190","T0C 2L0","2010-12-07 15:13:39.551287"
"BOX 5355","LACOMBE, AB",,297,"CANADIAN RESIDENTIAL INSPECTION SERVICES","403-396-3938","T4L 1X1","2010-04-13 08:32:11.170007"
"28 ARCHER DRIVE","RED DEER, AB T4R 2V1","stephen@limegreenrealty.ca",286,"LIME GREEN REALTY INC.","403-505-0066","T4R 2V1","2010-04-27 11:57:27.439375"
"102,300-8120 BEDDINGTON BLV NW","CALGARY, ALBERTA","ellelobo@yahoo.com",298,"SILVER WOLF REAL ESTATE SERVICES","403-437-0132","T3K 2A8","2010-05-25 14:55:20.766014"
"#203, 4807 - 50 AVE","RED DEER, ALBERTA","patrick.galesloot@century21.ca",300,"CENTURY 21 ADVANTAGE COMMERCIAL","403-346-6655","T4N 4A5","2010-06-30 08:02:40.860809"
"1, 5000 - 51 AVE.","RED DEER, AB","redeer@telusplanet.net",83,"SUTTON LANDMARK REALTY","403-347-0751","T4N 4H5","2010-06-30 13:42:57.964082"
"BOX 2522","DIDSBURY, AB","williebuhler@shaw.ca",301,"REALTY CHECK PROPERTY INSPECTIONS","403-586-3205","T0M 0W0","2010-11-16 09:12:49.338389"
"P.O. BOX 1420 STN MAIN","ROCKY MTN HOUSE","jpratt@alberta-cu.com",302,"ROCKY CREDIT UNION","403-845-4230","T4T 1B1","2010-11-16 09:18:17.2548"
"BOX 417","RED DEER, ALBERTA","info@tammyking.ca",265,"WORTH METRO REALTY","403-347-0649","T4N 5E9","2010-12-16 10:35:30.549926"
"#3, 4836 - ROSS STREET","RED DEER, AB","info@RealtyExpertsGroup.com",295,"REALTY EXPERTS GROUP LTD","403-505-7653","T4N 1X4","2011-06-01 07:30:10.197224"
"4448 - 33 STREET","RED DEER, AB","under@telusplanet.net",197,"RCR - ROYAL CARPET REALTY LTD.","403-342-7700","T4N 0N4","2011-02-07 11:07:08.124947"
"4715 45 STREET, Box 2017","ROCKY MOUNTAIN HOUSE, AB","cbfr@telus.net",11,"COLDWELL BANKER R FAMILY REALTY","403-845-2161","T4T 1B2","2011-04-28 07:15:41.868607"
"#2 5215- 49TH AVE","INNISFAIL, ALBERTA","office.sundance@gmail.com",291,"SUNDANCE REALTY & MANAGEMENT INC.","403-227-1999","T4G 1B3","2011-10-06 11:58:38.981687"
"BOX 1040","RED DEER, ALBERTA","gpireddeer@telus.net",303,"GLOBAL PROPERTY INSPECTIONS","403-588-8396","T4N 6S5","2011-09-28 07:15:46.039741"
"3rd Floor 4813-47 STREET","RED DEER, AB",,176,"HALDANE APPRAISALS LTD.","403-309-3500","T4N 1R3","2012-01-16 13:10:57.633295"
"G, 464 WOODBINE BLVD. SW.","CALGARY, AB",,252,"RESIDENTIAL ONE REAL ESTATE","403-254-2270","T2W 5H7","2011-07-18 09:20:51.781523"
"BOX 25000 14220 - 112 AVE","EDMONTON, AB",,192,"EDMONTON REAL ESTATE BOARD","780-451-6666","T5J 2R4","2011-08-02 13:02:17.457117"
"5029 50 AVENUE, BOX 1480","RIMBEY, AB","rrtarney@telus.net",254,"MR. & MRS. REAL ESTATE INC.","403-843-0100","T0C 2J0","2011-08-09 12:29:59.502387"
"202, 5403 CROWCHILD TRAIL NW","CALGARY, AB","ken_lamb@shaw.ca",292,"REAL ESTATE PROFESSIONALS INC.","403-547-4143","T3B 4Z1","2011-08-29 09:25:55.042532"
"101-HOTEL MARADA 3911-48 AVE","CAMROSE, ALBERTA","swancity@telus.net",315,"SWAN CITY REALTY","780-679-2271","T4N 2Z1","2011-11-02 14:22:52.302124"
"4540A - 47 AVENUE","ROCKY MOUNTAIN HOUSE, AB","lorna@lorna.ca",268,"ROYAL LEPAGE TAMARACK TRAIL REALTY","403-845-5588","T4T 0A9","2011-10-13 11:49:38.845494"
"6 ARGENT CLOSE","RED DEER ALBERTA","tyrelaqua@mac.com",311,"ONE PERCENT REALTY","403-355-3555","T4R 3R4","2011-09-16 11:56:22.526659"
"SUITE 113 SCOTT BLOCK","4818 - 50 AVE RED DEER, AB",,309,"MARC AUBIN & ASSOCIATES","403-309-0711","T4N 4A3","2011-09-06 12:28:10.625058"
"#203, 5009-48TH STREET","LLOYDMINSTER, AB",,314,"REALTORS ASSOCIATION OF LLOYDMINSTER","780-875-6939","T9V 0H7","2011-09-21 07:59:55.629477"
"5820A HWY 2A","LACOMBE, AB.","michaelgouchie@royallepage.ca",102,"ROYAL LEPAGE LIFESTYLES","403-782-3171","T4L 2G5","2011-12-15 09:41:19.939363"
"#52 IRVING CRES","RED DEER, ALBERTA","trust@djshomeinspectons.ca",308,"DJ'S HOME INSPECTIONS","403-358-0227","T4R 3R9","2011-11-09 07:12:40.234961"
"#206, 4926 ROSS STREET","RED DEER, AB","info@truenorthrd.com",42,"TRUE NORTH REALTY CORP","403-343-0123","T4N 1X7","2012-01-09 08:02:28.287596"
"B107, 5212 - 48 STREET","RED DEER","amerispeccentral@gmail.com",306,"AMERISPEC INSPECTION SERVICES","403-309-1755","T4N 7C3","2011-09-28 07:34:31.879928"
"5913 50 AVENUE","RED DEER, ALBERTA",,264,"MAXWELL REAL ESTATE SOLUTIONS LTD.","403-346-7755","T4N 4C4","2011-10-14 12:37:25.497321"
"5509 54 STREET","OLDS ALBERTA","randy.w@onlinerealty.ca",312,"ONLINE REALTY","403-228-2828","T4H 1J4","2011-10-13 12:24:51.207522"
"905 4747 - 67 STREET","RED DEER, AB","advantage@century21.ca",30,"CENTURY 21 ADVANTAGE","403-346-0021","T4N 6H3","2011-10-13 15:09:17.904462"
"162 ATHABASCA AVENUE","HINTON, AB","admin.awra@shaw.ca",316,"ALBERTA WEST REALTORS ASSOCIATION","780-865-7511","T7V 2A5","2011-10-27 12:18:11.862718"
"#113, 4818 - 50 AVE","RED DEER, AB","brian@caneba.com",307,"BUYER AGENT BRIAN & COMPANY","780-477-9851","T4N 4A3","2011-11-02 14:21:21.692214"
"RR 1 SITE 5 BOX 29","OLDS ALBERTA","cfrench@rpacanada.com",317,"REAL PROPERTY APPRAISALS LTD","403-507-3857","T4H 1P2","2012-02-16 13:35:36.688985"
